雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
21779549,t_9991rlqdsr,内蒙古,包头,我需要VI系统设计,6580,109.96496,40.60554
21970133,m_5219_m26dge,内蒙古,包头,我需要市场营销策划,300,109.96496,40.60554
19332214,t_8601upjvsm,陕西,宝鸡,我需要详情页设计,1000,107.1339,34.372436
21925178,m_8380_lw78tw,陕西,宝鸡,网络推广整合营销百度网站品牌产品营销软文营销发布百科口碑营销,200,107.14991,34.37116
13175457,m_88808w8tyv,河北,保定,【5款方案-性价比】logo设计图文LOGOvi标志字体商标,580,114.502461,38.045474
12492194,m_9777_lwjmdq,河北,保定,商标设计公司企业LOGO餐饮字体设计门店LOGO广告品牌设计,360,114.502461,38.045474
21871509,m_0330_pzfd9c,河北,保定,雄安新区泰天塑料制品有限公司LOGO设计,300,114.502461,38.045474
17660193,我是你的眼中花,河北,保定,【逐鹿】微信朋友圈运营公众号托管微信群活动策划,230,114.70123,38.62154
21983597,t_2977_BZp9z3,河北,保定,LOGO设计,2999,114.70123,38.62154
21877304,m_3856_2b237c,河北,保定,中青供应链有限公司LOGO设计,300,115.4587,38.87751
20496621,m_9952_ahlwex,河北,保定,【爵视总监画册设计】|房地产|教育|互联网|金融|家居|政府,500,115.46463,38.873972
5533192,mrxu110,河北,保定,航空航模飞行教育基地LOGO设计,150,115.46463,38.873972
21566167,t_1212il90ll,河北,保定,公司企业产品品牌广告语宣传口号主题促销,500,115.7788,38.70003
12560221,open_pij2xfae,河北,保定,【3套方案】logo字体设计LOGO公司包装vi标志企业图文,360,115.98062,39.48622
21838841,m_0193_aa6xf8,河北,保定,绘本馆装修设计,400,115.98062,39.48622
21953925,m_4486_wgb7zj,河北,保定,我需要电商视频制作,300,115.98062,39.48622
20635154,RDP,广西,北海,绿牧食品，LOGO设计，需注册商标。,300,109.11744,21.47501
21920146,聚景,广西,北海,易象公司logo设计标志设计餐饮LOGO企业字体图形设计商标,300,109.11744,21.47501
10855918,疯狂铁冰,北京,北京,我需要LOGO,900,113.300126,40.076816
6988361,xby__@Zbj,北京,北京,(逐美）室内，家装，工装，公建，别墅，景观，漫游动画，鸟瞰图,2200,114.9902,38.51623
6567622,dongsui,北京,北京,需要logo,1000,115.46463,38.873972
16197826,m_4945_lta3rd,北京,北京,添紫传媒,3000,115.46463,38.873972
21724998,m_6395_no7qj7,北京,北京,北京卖客壹佰物联网科技有限公司需要购物空间设计,1000,116.14257,39.74786
21946304,t_0863_luu6ep,北京,北京,我需要vi系统设计,960,116.2229,39.90564
14076569,leshuileshan,北京,北京,【 买一送一】电脑+手机网站数据同步|网站建设|网站制作,2000,116.2229,39.90564
21496196,m_6071_mhoryx,北京,北京,我需要logo,1000,116.2312,40.22072
21926376,m_9474_ru263a,北京,北京,【新用户福利】我需要0成本代理游戏服务,0.1,116.2312,40.22072
21903488,m_7203_u9btlr,北京,北京,海报画册菜谱展架书籍网络灯箱卡片宣传册宣传单展架台历墙体设计,495,116.2312,40.22072
21090408,t_9085wR0vuc,北京,北京,LOGO设计/商标设计/卡通logo/字体设计/企业logo,500,116.2312,40.22072
21759199,m_9746_oar3x9,北京,北京,酒店设计 酒店民宿 快捷酒店 主题酒店 效果图设计 室内设计,14480,116.2312,40.22072
21976259,m_6432_es5lyf,北京,北京,【旗舰店】人工英语英文翻译服务公司电商法律合同机械说明书简历,163,116.2312,40.22072
18332595,大伟9247,北京,北京,【原创不满意退款】公司logo品牌企业标志产品商标LOGO,988.02,116.2312,40.22072
10265511,readyeasy,北京,北京,翻译【特惠翻译】资深英文翻译公司/英语翻译/合同标书视频翻译,99,116.231204,40.22066
16411671,t_2031omj1hs,北京,北京,视频精剪 视频包装,275500,116.231204,40.22066
18716573,m_9508_xnsbs2,北京,北京,海报设计易拉宝设计户外平面设计广告设计展架设计宣传单彩页设计,1060,116.231204,40.22066
5506306,我是大坏蛋1号,北京,北京,网络整合营销策划APP贴吧推广百度百科词条创建网站SEO优化,1600,116.231204,40.22066
13987644,m_0803vx512l,北京,北京,企业创意咨询服务,300,116.231204,40.22066
11898168,CSKA,北京,北京,我需要U3D制作,60000,116.231204,40.22066
21457983,m_6044_x54aad,北京,北京,网站网页设计界面ui设计UI企业官方网站前端html制作响应,2300,116.231204,40.22066
21261855,m_8060_ldat68,北京,北京,【匠二设计组长设计】公司logo企业标志设计商标logo设计,880,116.231204,40.22066
21959790,m_9802_gz9is0,北京,北京,【原天猫团队操作】天猫入驻品牌运营计划方案天猫代入驻高性价比,1500,116.28625,39.8585
21540572,marygoing,北京,北京,梵尚海报总监操刀原创海报地产/品牌展示/形象海报/活动宣传,1200,116.28625,39.8585
21961137,t_3774_Ccptuf,北京,北京,八戒翻译-文档资料翻译 2019-03-29 14:07,192.32,116.28625,39.8585
15999373,合励伟通_珍,北京,北京,【自营】-一站式电商小程序/微信小程序/不满意退全款,3000,116.28625,39.8585
16986715,open_r5w0_6yhm,北京,北京,北京爱诺斯科技有限公司包装设计,300,116.28625,39.8585
19997394,m_6689_cy09kf,北京,北京,【企业画册设计】教育科技金融医疗招商画册设计 产品宣传册设计,600,116.28625,39.8585
21729518,t_9078_srt7ki,北京,北京,云ERP进销存管理系统软件手机版电脑版微信小程序版三合一,21000,116.28625,39.8585
21686497,t_6795_sqx986,北京,北京,app界面设计/wap网页美工/手机移动应用UI设计/微信,5600,116.28625,39.8585
21912641,m_1613_jd40fs,北京,北京,【二维动画制作】MG动画mg动画飞碟说动画flash动画手绘,13500,116.28625,39.8585
5976298,朝圣视觉设计,北京,北京,抖音短视频微视最右小红书火山小视频小咖秀配音秀粉丝通推广,90,116.286322,39.858494
5818221,三高小小生,北京,北京,教师节电子贺卡,20,116.298012,39.95971
19892365,网推推,北京,北京,室内装饰设计，工装设计，工装效果图，cad 3d电子版图,200,116.298012,39.95971
13290277,华和-美科信,北京,北京,logo设计（5款方案）企业公司餐饮品牌教育金融logo,379,116.298012,39.95971
14418270,m_1538pq5khq,北京,北京,高档VI套餐3000元88页内容三套方案选择,450,116.298012,39.95971
7397523,缘泰来,北京,北京,治具设计/看图3D建模 机构制造 生活家电等,133.65,116.298012,39.95971
7701610,渥瑞达,北京,北京,我需要建筑设计,4500,116.298012,39.95971
999375,郭金璐,北京,北京,矢量图制作高清绘制AI CDR位图转画矢量图标志LOGO绘制,30,116.298012,39.95971
21945064,t_9638_Mpd90t,北京,北京,手册翻译/企业简介翻译/产品说明书翻译/产品手册翻译,3324,116.29812,39.95931
21951510,t_8764_bzpv91,北京,北京,app界面设计移动ui交互手机页面UI网页网站h5微信H5原,1400,116.29812,39.95931
22021478,t_2156_iC7fxs,北京,北京,【威威名片设计】企业名片公司名片卡片设计创意名片,200,116.29812,39.95931
21803100,o三岁o,北京,北京,淘宝天猫京东详情页设计产品描述网店装修首页设计众筹美工代运营,480,116.29812,39.95931
21878594,m_7702_s0qnec,北京,北京,LOGO设计/商标设计/卡通logo/字体设计/企业logo,495,116.29812,39.95931
21000074,t_9695OC1yg0,北京,北京,企业网站建设 网站开发 网站定制 手机网站 网站制作网站设计,18000,116.29812,39.95931
21986074,m_2998_kxgpr3,北京,北京,中农咨询有限公司需要特效制作,600,116.29812,39.95931
21859317,t_3976_sOlf92,北京,北京,墨客晒宝小程序商标设计,300,116.29812,39.95931
21882368,m_6184_dr0eug,北京,北京,北京视捷集华技术有限公司LOGO 设计,500,116.29812,39.95931
21885841,t_5220_gkynrp,北京,北京,我需要logo,800,116.29812,39.95931
21926851,m_7180_9t79qw,北京,北京,我需要网站维护,880,116.29812,39.95931
21839282,m_7670_4jhlpg,北京,北京,我需要办公空间设计,2500,116.29812,39.95931
2544764,amuser27,北京,北京,世好建业装饰logo设计,500,116.341395,39.726929
2544764,amuser27,北京,北京,1號布艺LOGO设计,350,116.341395,39.726929
21911985,m_4027_ynh9zw,北京,北京,亮农LOGO设计,300,116.34149,39.72668
21771546,m_4019_6vnvds,北京,北京,我需要LOGO,749.5,116.34149,39.72668
21937667,t_1925_tPdvf5,北京,北京,影视后期丨视频制作丨字幕添加丨拍摄剪辑丨特效合成丨后期包装,150,116.34149,39.72668
21596730,m_2003_qfvai2,北京,北京,IT金融产品公司画册设计宣传册设计产品说明折页设计样本设计,840,116.36003,39.9305
10177866,中国茶叶流通协会,北京,北京,【工业制造能源采矿】公司品牌门店产品餐饮影视食品logo设计,500,116.36561,39.912445
20310123,m_2551_e6j6tx,北京,北京,微博代运营、图文案排版托管【不满意随时退】、定时更新内容包月,550,116.36561,39.912445
21049989,t_7296PW0ty3,北京,北京,[原创不满意退款]l 画册/宣传画册/企业画册/产品画册设计,50,116.405285,39.904989
20165640,小何my,北京,北京,易象公司logo设计标志设计餐饮LOGO企业字体图形设计商标,300,116.405285,39.904989
21658922,t_0166_srj24z,北京,北京,【网站建设】网站定制网站开发企业网站企业官网网站设计网站制作,13000,116.405285,39.904989
19470375,m_0121_ueogou,北京,北京,我需要宣传册设计,800,116.405285,39.904989
21845521,m_5221_rgm8do,北京,北京,海报设计宣传册宣传单菜谱台历宣传品易拉宝展架广告设计,495,116.405285,39.904989
21762111,m_7207_1wbl55,北京,北京,我需要品牌起名,2380,116.405285,39.904989
21984847,m_0128_vsdf74,北京,北京,ui设计 UI设计 网页设计 网站设计 网站制作 网页制作,400,116.405285,39.904989
21800124,m_3503_37f2dd,北京,北京,教育行业vi设计公司企业VIS系统视觉设计logo餐饮,200,116.405285,39.904989
21953285,m_0751_sjycil,北京,北京,餐饮教育培训家居电商公司店铺旅游茶饮原创图文logo标志设计,600,116.405285,39.904989
21937607,t_6493_aYa9rq,北京,北京,【高性价】食品饮料高端包装设计手提袋装设计产品插画包装瓶标贴,1,116.405285,39.904989
21893407,m_1411_vuj3og,北京,北京,我需要网站定制开发,4800,116.405285,39.904989
21945405,m_5415_1hpmdl,北京,北京,人力资源  LOGO设计,2000,116.405285,39.904989
21976644,m_2369_ybsojp,北京,北京,窗帘设计图,200,116.405285,39.904989
21721373,t_9640_xe7u6t,北京,北京,【新用户福利】我需要2019全年H5互动营销服务,0.01,116.405285,39.904989
21193653,t_3409Tma5te,北京,北京,我需要logo,2000,116.405285,39.904989
21193653,t_3409Tma5te,北京,北京,LOGO设计  文字加图案,3000,116.405285,39.904989
9275932,angel2002,北京,北京,淘宝直播运营天猫直播申请淘宝达人L1L2L3申请内容运营诊断,285,116.407413,39.904214
21309334,岁末钟声,北京,北京,企业品牌品牌整合营销全案网络营销新品品牌包装公司产品整合营销,9500,116.407413,39.904214
14123549,Fullring,北京,北京,之呼康LOGO设计,475,116.407413,39.904214
11546484,m_356867te3x,北京,北京,3折页2折页易拉宝宣传单多折页宣传品折页单页X展架三折页设计,500,116.407413,39.904214
14868964,m_3765j6hbdq,北京,北京,小红书营销小红书kol达人素人网红营销KOL大号小红书达人,8000,116.407413,39.904214
5454118,tinapenghe,北京,北京,我需要宣传册设计,3200,116.407413,39.904214
4781861,白馒,北京,北京,【新用户福利】我需要企业抖音号代认证服务,0.1,116.407413,39.904214
20168382,羊之恋牛羊肉批发,北京,北京,食品饮料空蝉食品包装设计茶叶包装手提袋设计礼盒包装包装袋设计,1500,116.407413,39.904214
21378355,m_4969_xxdcat,北京,北京,【威威5套方案】品牌logo公司logo设计商标设计标志,146.4,116.407413,39.904214
12862497,m_8002fd913a,北京,北京,卡通形象,1500,116.407413,39.904214
4781861,白馒,北京,北京,把瓶子实物图制作成效果图,100,116.407413,39.904214
15818738,m_7515_m6pd3j,北京,北京,本原logo设计医疗生物教育科技互联网公司图形英文品牌标志,5399,116.407413,39.904214
5323679,bjjxjy,北京,北京,品牌起名品牌取名品牌命名公司企业取名命名品牌策划【品牌取名】,2500,116.407413,39.904214
14126726,刀过不留痕,北京,北京,淘宝天猫京东代运营店铺托管诊断网店手机无线店铺装修详情页设计,80,116.407413,39.904214
10880150,小喽啰1991,北京,北京,网络整合营销策划APP贴吧推广百度百科词条创建网站SEO优化,2000,116.407413,39.904214
20310123,m_2551_e6j6tx,北京,北京,微信公众号代运营、原创图文排版、日常推文微信发文托管包月,500,116.407413,39.904214
15956651,m_6792_ayxez1,北京,北京,logo设计原创商标设计公司企业品牌卡通图标志字体制作,490,116.407413,39.904214
19887405,t_9563hpew47,北京,北京,公司品牌广告语文案策划公司简介企业企业文化宣传册文案品牌故事,1000,116.407413,39.904214
21242272,m_5565_rjpdoc,北京,北京,公司餐饮品牌科技门店食品产品LOGO设计商标标志logo设计,1000,116.407413,39.904214
19267371,t_8853fc4qlf,北京,北京,前端开发/前端/前端切图/自适应响应式布局/移动H5前端开发,1400,116.407413,39.904214
13981208,霖设计,北京,北京,员工股权激励机制合伙人股权分配方案股权设计管理办法协议合同,2000,116.407413,39.904214
20637384,t_7905hmila6,北京,北京,软件汉化,5000,116.407413,39.904214
11279959,创意婚庆搞笑视频,北京,北京,LOGO设计设计标志公司logo设计包装vi图文图形商标品牌,488,116.407413,39.904214
7840581,marchmarch2012_@Zbj,北京,北京,【威威总监操刀】LOGO设计企业LOGO商标设标志设计品牌,1088,116.407413,39.904214
18665165,open_55vz_34k3,北京,北京,我需要修改一段代码,100,116.407413,39.904214
9624644,柠檬黄米粒,北京,北京,公司企业LOGO设计平面餐饮门店logo图形标志品牌商标设计,200,116.407413,39.904214
5848877,Jgg2004,北京,北京,标志设计品牌LOGO餐饮LOGO公司LOGO原创LOGO,263.34,116.407413,39.904214
20310523,t_9611iaw4ky,北京,北京,网页设计/H5/网站ui//网站设计小程序UI设计网站建设,2400,116.407413,39.904214
9473180,窗台上的苹果核,北京,北京,我需要易拉宝设计,500,116.407413,39.904214
14115389,Shi_Xin,北京,北京,亚马逊图片处理阿里巴巴抠图速卖通美工诚信通修图片设计主图设计,85,116.407413,39.904214
12800509,郝建栋,北京,北京,爆款详情页设计淘宝美工网店装修美工包月外包宝贝页面描述制作,500,116.407413,39.904214
11441906,查理的心,北京,北京,【二维动画制作】MG动画mg动画飞碟说动画flash动画手绘,12000,116.407413,39.904214
21376103,t_6237rokamp,北京,北京,我需要logo,3450,116.407413,39.904214
20822640,t_9611zy1vfg,北京,北京,海报设计易拉宝设计户外平面设计广告设计展架设计宣传单彩页设计,480,116.407413,39.904214
20027540,t_8412fgxpvd,北京,北京,小程序开发微信开发微商城微官网微信分销系统公众号微信公众平台,80,116.407413,39.904214
21249309,m_9895_9kvm7p,北京,北京,国际STEM教育峰会LOGO设计,250,116.407413,39.904214
12005756,笑尘2008,北京,北京,【HTML5网站】自适应网站 网站建设 网站制作 网站设计,8000,116.407413,39.904214
20025875,t_1475jnxpr5,北京,北京,小程序开发微信开发微商城微官网微信分销系统公众号微信公众平台,80,116.407413,39.904214
20411329,t_6386oakpt6,北京,北京,我需要宣传册设计,700,116.407413,39.904214
21329638,m_8787_0p8j6x,北京,北京,logo设计（5款方案）企业公司餐饮品牌教育金融logo,379,116.407413,39.904214
14082956,可爱的郭少,北京,北京,【新用户福利】我需要企业抖音号代认证服务,0.1,116.407413,39.904214
20096786,t_4632nwbp2i,北京,北京,我需要新媒体文案,288,116.407413,39.904214
20027540,t_8412fgxpvd,北京,北京,企业网站建设网站设计网站开发网站定制网站制作网页设计公司官网,80,116.407413,39.904214
21193032,m_3960_o1i5m1,北京,北京,中科优始我需要包装设计,5000,116.407413,39.904214
5198071,徐灵强,北京,北京,北京国泰信诺科技有限公司需要logo,300,116.407413,39.904214
11481986,open_y7gaq3yc,北京,北京,我需要宣传册设计,1600,116.407413,39.904214
11115779,open_13cbtpal,北京,北京,公司品牌餐饮产品食品图形文字卡通科技商标图形文字logo设计,297,116.407413,39.904214
11481986,open_y7gaq3yc,北京,北京,我需要海报设计,800,116.407413,39.904214
8967980,幸福的猪扒戒,北京,北京,品牌策划企业网站百度网络整合营销推广软文发布微博微信百科修改,2120,116.407413,39.904214
10390786,yunrui2009,北京,北京,互联网产品LOGO设计,400,116.407413,39.904214
18472865,t_0435lg9v2y,北京,北京,极地单页宣传册设计企业公司产品样本招商手册设计形象宣传品设计,2800,116.407413,39.904214
20025875,t_1475jnxpr5,北京,北京,企业网站建设网站设计网站开发网站定制网站制作网页设计公司官网,80,116.407413,39.904214
19575706,t_5654htksud,北京,北京,【金墨名片设计】卡片设计高端创意名片设计企业个人名片公司设计,200,116.407413,39.904214
16098479,t_5152fga13t,北京,北京,[原创不满意退款]l 画册/宣传画册/企业画册/产品画册设计,2800,116.407413,39.904214
7806446,squall4411_@Zbj,北京,北京,北京美博源商贸有限公司菜单设计,450,116.407413,39.904214
7618551,demonZBJ,北京,北京,淘宝天猫引流淘宝天猫店铺网店无线手机APP流量精准引流推广,598,116.407413,39.904214
12227394,webzhang4677,北京,北京,品牌软营销文案策划整合营销网络媒体企业营销发布方案口碑传播,100,116.407413,39.904214
12227394,webzhang4677,北京,北京,品牌整合营销全案口碑营销策划执行新媒体整合营销策划,900,116.407413,39.904214
9449201,苏菲点心,北京,北京,【不满全退】公司LOGO企业logo标志设计vi设计商标设计,300,116.407413,39.904214
26617,ycs666,北京,北京,我需要品牌起名,300,116.407413,39.904214
11803702,open_s0pozyrw,北京,北京,企业VI品牌VI升级VI导视工业制造餐饮修改到满意为止,300,116.407413,39.904214
11213708,m_37111qmeld,北京,北京,专业ppt设计美化制作公司简介/商业项目汇报/路演/商务幻灯,300,116.407413,39.904214
6117483,朱_颜,北京,北京,承接各种修图设计,3000,116.407413,39.904214
9370736,free阿朱,北京,北京,微格教室效果设计,300,116.407413,39.904214
13322955,香色谷轩烘培庄园,北京,北京,我需要图标icon设计,200,116.407413,39.904214
19415558,m_2079_z8kbw6,北京,北京,网站维护,500,116.41005,39.93157
21779251,索源科技,北京,北京,文案总监品牌全案/品牌故事/品牌简介/商业计划书/融资计划书,1166,116.41005,39.93157
21959380,m_2830_03g3ii,北京,北京,新员工信息采集小程序,3000,116.41005,39.93157
21848955,m_9240_vbyf1t,北京,北京,高端名片设计个人公司企业工作证设计会员卡购物卡片设计名片设计,100,116.41005,39.93157
21934706,m_5641_f0bnrz,北京,北京,需要logo,500,116.41005,39.93157
15470590,这个昵称是我的,北京,北京,我需要易拉宝设计,824,116.443188,39.921034
15838410,薇曼文化传播,北京,北京,恰到（北京）文化科技有限公司LOGO设计,500,116.443188,39.921034
17824095,立方米网络,北京,北京,【世界五百强供应商】产品企业宣传片后期淘宝短视频制作剪辑拍摄,7000,116.443188,39.921034
20260147,open_czu8_t6zr,北京,北京,平面广告设计AI CDR画矢量图制作绘制标志位图转矢量图修改,20,116.48548,39.9484
18700934,open_jq2p_q4rn,北京,北京,我需要其它宣传品设计,1200,116.48548,39.9484
21295510,m_1515_kpmivl,北京,北京,微信小程序定制开发小程序软件定制开发小程序商城H5微信开发,22500,116.48548,39.9484
21483723,m_2666_x4a43r,北京,北京,宣传单设计,3500,116.48548,39.9484
21833269,t_1118_zm6uwf,北京,北京,微博微信业务新浪微博微信公众号订阅号微博粉丝通推广,1200,116.48548,39.9484
20260147,open_czu8_t6zr,北京,北京,品牌策划品牌故事企业公司简介品牌文化公司品牌理念愿景文案写作,520,116.48548,39.9484
21866702,t_3722_Bc1upt,北京,北京,易象公司logo设计标志设计餐饮LOGO企业字体图形设计商标,500,116.48548,39.9484
21943488,t_9181_wua4ot,北京,北京,我需要宣传册设计,1600,116.48548,39.9484
14164292,m_7467_iijqhd,北京,北京,3-10天！百度下拉框 相关搜索词***优化排名******,1200,116.48548,39.9484
12554853,营销头号玩家,北京,北京,网络整合营销策划APP贴吧推广百度百科词条创建网站SEO优化,330,116.48548,39.9484
21814936,t_4466_bTb8ep,北京,北京,教育行业LOGO设计,2000,116.48548,39.9484
18878169,m_0425_tn0xyi,北京,北京,我需要排版设计,300,116.48548,39.9484
22028767,m_7408_7n7buc,北京,北京,公司企业logo设计标志设计商标设计vi设计vis设计卡通,299,116.48548,39.9484
21793032,中视君行吴君导演艺术工作室,北京,北京,【工业制造能源采矿】公司品牌门店产品餐饮影视食品logo设计,495,116.48548,39.9484
21925227,m_0435_1fjequ,北京,北京,我需要名片设计,400,116.48548,39.9484
21954726,m_2284_v04p10,北京,北京,幼儿园 早教中心 培训机构 教育机构 效果图 装修 设计,600,116.48548,39.9484
21131405,t_8073kltvtm,北京,北京,思传logo总监设计餐饮文化IT企业产品标志卡通形象行业设计,999,116.48548,39.9484
21814801,m_6090_32k8dn,北京,北京,品牌策划企业公司网站百度网络整合营销推广策划微博微信百科文案,250,116.48548,39.9484
21975433,m_2155_d6txdq,北京,北京,我需要logo,799,116.48548,39.9484
21506523,m_2179_xcs0sz,北京,北京,商业计划书BP融资路演PPT设计 项目计划书北京可行性研究报,10,116.48548,39.9484
21506523,m_2179_xcs0sz,北京,北京,企业产品宣传册+文案,10,116.48548,39.9484
20263895,m_1253_veax2s,北京,北京,我需要logo,349,116.48548,39.9484
21960048,m_1384_ty0nic,北京,北京,企业画册产品手册宣传册宣传画册产品画册招商手册ppt文案设计,2400,116.48548,39.9484
21960048,m_1384_ty0nic,北京,北京,公司企业卡通logo设计图文标志字体图标商标设计ico设计,1267.2,116.48548,39.9484
21689524,m_4744_hveust,北京,北京,LOGO设计企业logo商标协会组织logo标识si导视设计,1000,116.48548,39.9484
21814801,m_6090_32k8dn,北京,北京,品牌产品百度整合营销网络软文代发布策划写作APP推广百科修改,200,116.48548,39.9484
21910335,m_0215_mhwj44,北京,北京,梵尚插画大幅插画绘本/中国风/国画风手绘插图/书籍插画绘本,2000,116.48548,39.9484
21717871,m_7524_gnglbm,北京,北京,【总监原创logo设计】高端logo定制 标志设计满意为止,2999,116.48548,39.9484
21972386,m_5080_44rccd,北京,北京,风耀国际LOGO设计,799,116.48548,39.9484
21802199,m_7064_4fh2dr,北京,北京,特惠海报,80,116.48548,39.9484
21738184,t_0898_lgxig8,北京,北京,我需要包装盒设计,2400,116.48548,39.9484
21795816,t_5157_Js1rhl,北京,北京,品牌企业公司LOGO设计注册图文标志商标logo餐饮平面设计,1800,116.48548,39.9484
21628833,m_2319_8zlrpb,北京,北京,我需要logo,288,116.63168,40.31602
21165866,m_9425_aust03,北京,北京,企业vi设计VI系统VIS餐饮VI全套VI应用视觉品牌全案,1881,116.63168,40.31602
21907485,t_5627_nIdrnn,北京,北京,【弓与笔LOGO设计】公司品牌商标设计,3000,116.65417,40.1302
21926304,m_2443_3v9064,北京,北京,【威威5套方案】品牌logo公司logo设计商标设计标志,688,116.65417,40.1302
19575239,m_8388_dt08gw,北京,北京,验证码识别DLL/post调用url链接、本地验证码识别,1000,116.65417,40.1302
21699779,t_7719_tcvzqz,北京,北京,【赠送VI】公司LOGO企业logo标志设计vi设计商标设计,495,116.65417,40.1302
12332372,路酷科技,北京,北京,互联网泊车App LOGO设计,500,116.656437,39.909965
17016263,沉默的矜持,北京,北京,软件界面设计,2000,116.656437,39.909965
21916990,m_3975_euk0it,北京,北京,餐饮公司LOGO设计产品企业门店标志品牌卡通食品logo商标,518,116.65716,39.90966
21889181,t_7510_fD2qib,北京,北京,PS图片处理修改主图海报拼多多图片设计合成图片去水印抠图美工,150,116.65716,39.90966
21597457,m_6221_x4djj8,北京,北京,我需要包装袋设计,1200,116.65716,39.90966
21889181,t_7510_fD2qib,北京,北京,PS图片处理修改主图海报拼多多图片设计合成图片去水印抠图美工,50,116.65716,39.90966
21620619,crazy小猴子,北京,北京,我需要手机app游戏开发,7000,116.65716,39.90966
7403903,tfy700,北京,北京,【新用户福利】我需要0成本代理游戏服务,0.1,116.706651,39.521017
14276004,open_4eczw1nl,北京,北京,淘宝代运营天猫代运营京东代运营淘宝整店托管淘宝直通车代运营,1980,116.706651,39.521017
21309321,t_8760kMlq89,北京,北京,PS图片处理美工P图修图抠图去水印改字主图详情页图片设计,10,116.713873,39.529244
21309321,t_8760kMlq89,北京,北京,亚马逊图片处理阿里巴巴抠图速卖通美工诚信通修图片设计主图设计,5,116.713873,39.529244
21723297,m_1816_19w86y,北京,北京,京东推广京东店铺网店无线手机APP流量关注引流推广,50,116.84295,40.37618
21193342,t_2656ZYg30g,北京,北京,网站前端开发,1000,117.184811,34.261792
266562,liudeheng,北京,北京,墨雨资深设计logo设计品牌简约logo设计图形标志企业品牌,880,125.323542,43.817084
13618688,m_7703abw10h,北京,北京,卡通logo吉祥物形象商标志品牌三视图微信表情包动态静态设计,1500,125.323542,43.817084
21579159,m_7777_u3wy2m,辽宁,本溪,微信开发  小程序定制开发 网站开发,13500,123.770519,41.297909
21976193,t_6546_Puyuir,辽宁,本溪,BP路演创业项目广告公司品牌企业商标活动起名取名,200,123.770519,41.297909
13007586,-deepsea-,辽宁,本溪,LOGO设计,300,123.770519,41.297909
18589140,zbj3k_8618,山东,滨州,和乐美LOGO设计,2300,116.62805,23.67451
20045103,t_3874rvtadf,安徽,亳州,淘宝天猫店铺设计,1200,116.62805,23.67451
21461986,m_0533_90ithw,安徽,亳州,我需要LOGO,900,116.62805,23.67451
21827245,达林i,河北,沧州,红枣包装袋一款,1500,116.12695,38.19228
20050052,t_7564hl8vw4,河北,沧州,企业网站建设网站设计网站开发网站定制网站制作网页设计公司官网,80,121.473704,31.230393
20050052,t_7564hl8vw4,河北,沧州,小程序开发微信开发微商城微官网微信分销系统公众号微信公众平台,80,121.473704,31.230393
21830595,m_0598_20les0,新疆,昌吉回族自治州,我需要新媒体文案,1750,87.30249,44.01267
21915798,m_0868_cmfogs,江苏,常州,京东推广京东店铺网店无线手机APP流量关注引流推广,158,119.94244,31.70086
