,雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
1135,21932729,m_5491_bzjoh8,江苏,镇江,【新用户福利】我需要企业抖音号代认证服务,0.1,119.4763,31.9702
1136,21903758,t_0170_betz74,山东,济南,【电商系列】电商网站 商城网站 购物网站建设开发 好网互联,200,117.1582,36.8701
1137,21987752,t_6765gvx1ym,安徽,芜湖,【广告设计】展示广告户外宣传海报平面设计、餐饮食品生活旅游,9,118.3557,31.0858
1138,21692910,m_5204_mk7628,辽宁,大连,我需要整店装修,1000,122.2229,39.4409
1139,18472865,t_0435lg9v2y,北京,北京,极地单页宣传册设计企业公司产品样本招商手册设计形象宣传品设计,2800,116.4551,40.2539
1140,21988231,t_9176ckdqxv,湖南,长沙,【总监操刀】微信微博原创、公众号创意营销文案策划、新媒体文案,50,113.0823,28.2568
1141,21880507,t_8749_jv9czh,四川,绵阳,微商城小程序手机企业官网站建设公司网站微信定制开发网页设计,1,104.7327,31.8713
1142,21952359,m_8384_3ge2k4,四川,成都,【新用户福利】我需要企业抖音号代认证服务,0.1,103.9526,30.7617
1143,10414462,贵州金麦田文化传媒有限公司,贵州,六盘水,产品外包装设计,300,104.7546,26.0925
1144,11020372,十步家文艺男装,贵州,贵阳,我需要LOGO设计,1000,106.6992,26.7682
1145,15778462,t_8946ekz6sv,上海,上海,八戒翻译-文档资料翻译 2019-03-29 13:14,151.06,121.4648,31.2891
1146,21969563,m_6798_kh2lc2,辽宁,营口,明朗口腔LOGO设计,60,122.4316,40.4297
1147,11851798,m_5054j2hzau,广东,中山,淘宝直播 天猫京东直播代运营 商家达人全球购直播代开微淘,148,113.4229,22.478
1148,21180767,t_7650DJtm0s,江苏,苏州,淘宝直播 天猫京东直播代运营 商家达人全球购直播代开微淘,20,120.6519,31.3989
1149,9069576,open_7792dasb,广东,广州,UI设计微信UI手机界面手机网站ui网页设计app页面设计,1900,113.5107,23.2196
1150,21906680,m_9531_xlgrfr,浙江,舟山,尚美嫁衣Amazing time,500,122.2559,30.2234
1151,21929881,m_8419_4o8iyf,广东,深圳,【高端原创】公司LOGO企业logo标志设计vi设计商标设计,528,114.5435,22.5439
1152,21864892,m_1602_kvq4af,广东,东莞,工业电子logo设计，机械科技化工企业标志、纺织行业商标设计,470.4,113.8953,22.901
1153,20636010,t_5489olo5gf,重庆,重庆,整合营销企业品牌策划营销软文撰写网络策划百度百科文库口碑知道,2300,107.7539,30.1904
1154,20027524,t_6742tc653p,山东,潍坊,小程序开发微信开发微商城微官网微信分销系统公众号微信公众平台,80,119.0918,36.524
1155,21889181,t_7510_fD2qib,北京,北京,PS图片处理修改主图海报拼多多图片设计合成图片去水印抠图美工,150,116.4551,40.2539
1156,21854038,m_3264_0tp3hr,上海,上海,需要活动页设计,2200,121.4648,31.2891
1157,21767743,m_2381_ehi8wd,江苏,苏州,祥维电子LOGO设计,1200,120.6519,31.3989
1158,12319066,m_6363rpnnd5,江苏,扬州,我需要logo,300,119.4653,32.8162
1159,21881962,m_0341_ehwxrx,广东,深圳,【新用户福利】我需要商城小程序服务,0.01,114.5435,22.5439
1160,14868238,小糖宝小铺,江苏,宿迁,淘宝天猫店铺设计,6,118.5535,33.7775
1161,11696389,m_6726e130ou,四川,绵阳,我需要logo,1050,104.7327,31.8713
1162,20260147,open_czu8_t6zr,北京,北京,品牌策划品牌故事企业公司简介品牌文化公司品牌理念愿景文案写作,520,116.4551,40.2539
1163,21964365,m_2548_vtdx00,河南,新乡,【新用户福利】我需要0成本代理游戏服务,0.1,114.2029,35.3595
1164,21928368,逸苏科技,湖北,孝感,logo设计高端原创 注册商标设计卡通品牌标志企业字体VI,285.12,113.9502,31.1188
